lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling,geometry,jumlah_banjir,Hasil_Prediksi,Probabilitas_Prediksi
"JAWA BARAT, KABUPATEN BANDUNG, KATAPANG, SANGKANHURIP",-6998699,10756931,2225.62,0.625,0.7142857142857142,0.75,1.0,POINT (10756931 -6998699),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, KATAPANG, CILAMPENI",-6989053,107556009,2229.57,0.0,0.7142857142857142,1.0,0.0,POINT (107556009 -6989053),1,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CANGKUANG WETAN",-6975512,107604508,2227.82,0.0,0.7142857142857142,1.0,0.0,POINT (107604508 -6975512),1,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CANGKUANG KULON",-6975195,107593754,2222.56,0.0,0.7142857142857142,0.75,0.0,POINT (107593754 -6975195),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, BANJARAN, TARAJUSARI",-7039982,107583617,2210.88,0.625,0.7142857142857142,0.75,1.0,POINT (107583617 -7039982),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, PAMEUNGPEUK, BOJONGKUNCI",-7019432,107573404,2223.67,0.625,0.7142857142857142,0.75,1.0,POINT (107573404 -7019432),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, PAMEUNGPEUK, RANCAMULYA",-7013895,107600927,2225.95,0.625,0.7142857142857142,0.75,1.0,POINT (107600927 -7013895),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, PAMEUNGPEUK, LANGONSARI",-7029115,107603109,2215.93,0.625,0.5714285714285714,0.75,1.0,POINT (107603109 -7029115),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, NANJUNG MEKAR",-6964717,107541564,2227.88,1.0,0.7142857142857142,1.0,1.0,POINT (107541564 -6964717),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, BOJONGMALAKA",-7008954,107615446,2232.88,0.0,0.5714285714285714,1.0,0.0,POINT (107615446 -7008954),1,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, RANCAMANYAR",-7012597,10760916,2229.85,1.0,0.5714285714285714,1.0,1.0,POINT (10760916 -7012597),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, MALAKASARI",-7023497,107605945,2220.88,0.0,0.5714285714285714,0.75,0.0,POINT (107605945 -7023497),1,0.0,0.03
"JAWA BARAT, KABUPATEN BANDUNG, SOLOKANJERUK, RANCAKASUMBA",-7024951,107727378,2102.18,0.625,0.7142857142857142,0.5,1.0,POINT (107727378 -7024951),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, SOLOKANJERUK",-7011957,107734909,2091.35,1.0,0.7142857142857142,0.5,1.0,POINT (107734909 -7011957),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, SOLOKANJERUK, PANYADAP",-7030836,107758671,2063.86,0.625,0.7142857142857142,0.25,0.0,POINT (107758671 -7030836),2,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, SOLOKANJERUK, BOJONGEMAS",-7002511,107715469,81.086,0.625,0.7142857142857142,0.0,0.0,POINT (107715469 -7002511),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, CINGCIN",-7026866,107542733,2251.98,1.0,1.0,1.0,1.0,POINT (107542733 -7026866),1,1.0,0.99
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG, PARUNGSERAB",-7013232,1075365,130.21,0.625,1.0,0.0,0.0,POINT (1075365 -7013232),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, KUTAWARINGIN, PAMEUNTASAN",-6983923,107549447,2232.58,0.0,0.7142857142857142,1.0,0.0,POINT (107549447 -6983923),1,0.0,0.01
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CILEUNYI KULON",-6949377,107738033,2088.21,0.625,0.7142857142857142,0.5,1.0,POINT (107738033 -6949377),1,1.0,1.0
